cve_estado,estado,pobl_0_4,poblacion_total
01,Aguascalientes,696683.0,1425607.0
02,Baja California,1900589.0,3769020.0
03,Baja California Sur,405879.0,798447.0
04,Campeche,456939.0,928363.0
05,Coahuila,1563669.0,3146771.0
06,Colima,360622.0,731391.0
07,Chiapas,2705947.0,5543828.0
08,Chihuahua,1853822.0,3741869.0
09,Ciudad de México,4404927.0,9209944.0
10,Durango,904866.0,1832650.0
11,Guanajuato,2996454.0,6166934.0
12,Guerrero,1700612.0,3540685.0
13,Hidalgo,1481379.0,3082841.0
14,Jalisco,4098455.0,8348151.0
15,Estado de México,8251295.0,16992418.0
16,Michoacán,2306341.0,4748846.0
17,Morelos,950847.0,1971520.0
18,Nayarit,612278.0,1235456.0
19,Nuevo León,2890950.0,5784442.0
20,Oaxaca,1974843.0,4132148.0
21,Puebla,3160115.0,6583278.0
22,Querétaro,1156820.0,2368467.0
23,Quintana Roo,936779.0,1857985.0
24,San Luis Potosí,1372451.0,2822255.0
25,Sinaloa,1494815.0,3026943.0
26,Sonora,1472197.0,2944840.0
27,Tabasco,1173671.0,2402598.0
28,Tamaulipas,1736140.0,3527735.0
29,Tlaxcala,649894.0,1342977.0
30,Veracruz,3871774.0,8062579.0
31,Yucatán,1140279.0,2320898.0
32,Zacatecas,791058.0,1622138.0
