cve_estado,estado,pobl_0_4,poblacion_total,pobreza_extrema_pct,pobreza_total_pct,rezago_educativo_pct,desnutricion_cronica_pct,pct_pobl_vulnerable,rezago_norm,desnutricion_norm,pobreza_norm,vulnerable_norm,IVN,nivel_urgencia,ranking
7,Chiapas,2705947.0,5543828.0,28.1,75.5,47.2,31.2,48.8100821309752,100.0,100.0,88.07947019867551,33.468800748739994,87.04018766197987,Crítico,1
12,Guerrero,1700612.0,3540685.0,31.7,64.4,40.8,28.9,48.03059295023421,82.74932614555254,90.83665338645417,100.0,7.839431365002435,78.25170856435238,Crítico,2
20,Oaxaca,1974843.0,4132148.0,26.6,61.1,39.4,27.4,47.792165237063145,78.97574123989217,84.86055776892428,83.11258278145695,0.0,69.92903539800918,Alto,3
30,Veracruz,3871774.0,8062579.0,17.8,54.3,30.2,21.4,48.02153256420805,54.17789757412399,60.95617529880477,53.973509933774835,7.541528602576817,49.16482863570886,Medio,4
4,Campeche,456939.0,928363.0,14.2,43.7,24.7,19.4,49.21986335086599,39.35309973045822,52.98804780876494,42.05298013245033,46.94228378171273,45.25693186213644,Medio,5
16,Michoacán,2306341.0,4748846.0,14.6,49.2,29.7,17.8,48.56634643448113,52.83018867924528,46.61354581673307,43.377483443708606,25.45484449150141,44.49571788344587,Medio,6
21,Puebla,3160115.0,6583278.0,14.8,49.4,28.9,19.7,48.00215029655439,50.673854447439346,54.18326693227091,44.039735099337754,6.904245482472534,43.502707011118396,Medio,7
27,Tabasco,1173671.0,2402598.0,14.9,48.9,23.8,18.4,48.850078123764355,36.92722371967655,49.003984063745015,44.37086092715232,34.783856939883044,42.08965610779701,Medio,8
24,San Luis Potosí,1372451.0,2822255.0,12.3,42.0,26.8,17.6,48.62958875083931,45.0134770889488,45.81673306772909,35.76158940397352,27.534232796912022,40.31959531753355,Medio,9
31,Yucatán,1140279.0,2320898.0,9.4,39.8,24.9,18.7,49.130939834495095,39.8921832884097,50.199203187250994,26.158940397350992,44.01850535825333,40.16992684577395,Medio,10
13,Hidalgo,1481379.0,3082841.0,13.4,48.1,27.3,18.3,48.052397123302825,46.3611859838275,48.60557768924303,39.40397350993378,8.556346005371514,39.62447438021033,Medio,11
29,Tlaxcala,649894.0,1342977.0,10.2,41.7,24.1,16.3,48.39204245493408,37.735849056603776,40.63745019920319,28.807947019867548,19.72378216601766,33.672543856611625,Medio,12
18,Nayarit,612278.0,1235456.0,8.7,37.4,22.3,12.9,49.558867333195195,32.88409703504043,27.091633466135463,23.841059602649004,58.088632570561586,32.66627893659926,Medio,13
23,Quintana Roo,936779.0,1857985.0,5.8,29.9,17.2,12.8,50.419083038883514,19.137466307277627,26.69322709163347,14.23841059602649,86.37226576970407,30.264650534135562,Medio,14
32,Zacatecas,791058.0,1622138.0,9.1,38.4,21.7,14.2,48.76638115869304,31.26684636118598,32.27091633466135,25.165562913907287,32.031925948266924,30.157508429471058,Medio,15
11,Guanajuato,2996454.0,6166934.0,7.8,42.4,23.1,14.7,48.58903954542079,35.04043126684637,34.26294820717131,20.86092715231788,26.20098714121169,29.93639370146653,Bajo,16
15,Estado de México,8251295.0,16992418.0,7.9,42.7,22.4,15.1,48.55868658598205,33.15363881401617,35.85657370517928,21.192052980132452,25.20299098095006,29.781525647934256,Bajo,17
17,Morelos,950847.0,1971520.0,8.3,38.6,21.9,13.6,48.22913285180977,31.80592991913746,29.880478087649397,22.51655629139073,14.367363503911507,26.290166000470464,Bajo,18
10,Durango,904866.0,1832650.0,5.2,31.5,18.4,11.2,49.374730581398524,22.37196765498652,20.318725099601593,12.251655629139075,52.034271656363586,23.67526248211574,Bajo,19
3,Baja California Sur,405879.0,798447.0,2.5,18.9,13.1,7.8,50.83355563988593,8.086253369272237,6.772908366533866,3.3112582781456954,100.0,20.285563090278252,Bajo,20
28,Tamaulipas,1736140.0,3527735.0,5.1,27.9,16.7,9.9,49.21401409119449,17.78975741239892,15.1394422310757,11.920529801324502,46.74996188623785,19.87138662630919,Bajo,21
14,Jalisco,4098455.0,8348151.0,4.1,26.9,17.6,10.2,49.09416468389228,20.215633423180595,16.33466135458167,8.609271523178808,42.80934948767906,19.538808737275236,Bajo,22
26,Sonora,1472197.0,2944840.0,3.1,21.8,14.9,8.8,49.992427432390215,12.93800539083558,10.75697211155379,5.298013245033113,72.34395798990344,19.284590260460604,Bajo,23
